Species,URL
Fringilla coelebs,https://images.naturalis.nl/original/135924.jpg
Fringilla montifringilla,https://images.naturalis.nl/original/199865.jpg
Fulica atra,https://medialib.naturalis.nl/file/id/RMNH.AVES.257832_3/format/large
Fulmarus glacialis,https://medialib.naturalis.nl/file/id/RMNH.AVES.257418_4/format/large
Galerida cristata,https://medialib.naturalis.nl/file/id/RMNH.AVES.29118_1/format/large
Gallinago gallinago,https://medialib.naturalis.nl/file/id/RMNH.AVES.164778_preplog/format/large
Gallinula chloropus,https://medialib.naturalis.nl/file/id/RMNH.AVES.P.1354/format/large
Garrulus glandarius,https://images.naturalis.nl/original/108605_bz5a5391.jpg
Gavia immer,https://medialib.naturalis.nl/file/id/RMNH.AVES.P.1581/format/large
Gavia stellata,https://medialib.naturalis.nl/file/id/RMNH.AVES.257420_4/format/large
Gelochelidon nilotica,https://medialib.naturalis.nl/file/id/RMNH.AVES.P.2751/format/large
Grus grus,https://medialib.naturalis.nl/file/id/RMNH.AVES.P.3414/format/large
Haematopus ostralegus,https://medialib.naturalis.nl/file/id/RMNH.AVES.P.1119/format/large
Himantopus himantopus,https://medialib.naturalis.nl/file/id/RMNH.AVES.P.2615/format/large
Hirundo rustica,https://images.naturalis.nl/original/97430.jpg
Hydroprogne caspia,https://images.naturalis.nl/original/129093_bz5a7344.jpg
Lanius collurio,https://images.naturalis.nl/original/103529_sr_grauwe-klauwier_bz5a5868.jpg
Lanius excubitor,https://images.naturalis.nl/original/113264.jpg
Larus argentatus,https://medialib.naturalis.nl/file/id/RMNH.AVES.257788_2/format/large
Larus canus,https://medialib.naturalis.nl/file/id/RMNH.AVES.P.1466/format/large
Larus fuscus,https://medialib.naturalis.nl/file/id/image-134967/format/large
Larus glaucoides,https://medialib.naturalis.nl/file/id/image-134964/format/large
Larus hyperboreus,https://medialib.naturalis.nl/file/id/image-134962/format/large
Larus marinus,https://medialib.naturalis.nl/file/id/image-134965/format/large
Larus michahellis,https://images.naturalis.nl/original/134521_geelpootmeeuw_bz5a3455.jpg
Limosa lapponica,https://medialib.naturalis.nl/file/id/RMNH.AVES.P.2661/format/large
Limosa limosa,https://medialib.naturalis.nl/file/id/RMNH.AVES.P.2657/format/large
Loxia curvirostra,https://images.naturalis.nl/original/129733_caravan_7092.jpg
Luscinia svecica,https://medialib.naturalis.nl/file/id/RMNH.AVES.58545_2/format/large
Melanitta fusca,https://medialib.naturalis.nl/file/id/RMNH.AVES.P.2043/format/large
Mergus merganser,https://medialib.naturalis.nl/file/id/RMNH.AVES.168174_preplog/format/large
Mergus serrator,https://medialib.naturalis.nl/file/id/RMNH.5070424_preplog.0001/format/large
Merops apiaster,https://medialib.naturalis.nl/file/id/RMNH.AVES.P.1939/format/large
Milvus migrans,https://medialib.naturalis.nl/file/id/RMNH.AVES.P.2547/format/large
Milvus milvus,https://medialib.naturalis.nl/file/id/RMNH.AVES.257842_3/format/large
Morus bassanus,https://medialib.naturalis.nl/file/id/RMNH.AVES.257949/format/large
