Species,Scientific,ID
Groenpootruiter,Tringa nebularia,108
Witgat,Tringa ochropus,201
Bosruiter,Tringa glareola,76
Steenloper,Arenaria interpres,182
Grauwe Franjepoot,Phalaropus lobatus,253
Rosse Franjepoot,Phalaropus fulicarius,318
Middelste Jager,Stercorarius pomarinus,291
Kleine Jager,Stercorarius parasiticus,273
Vorkstaartmeeuw,Xema sabini,1387
Geelpootmeeuw,Larus michahellis,250
Kleine Burgemeester,Larus glaucoides,272
Grote Burgemeester,Larus hyperboreus,255
Lachstern,Gelochelidon nilotica,368
Reuzenstern,Hydroprogne caspia,311
Zeekoet,Uria aalge,354
Alk,Alca torda,215
Zwarte Zeekoet,Cepphus grylle,1538
Papegaaiduiker,Fratercula arctica,304
Strandleeuwerik,Eremophila alpestris,336
Pestvogel,Bombycilla garrulus,306
Waterspreeuw,Cinclus cinclus,84884
Grote Barmsijs,Acanthis flammea,223
IJsgors,Calcarius lapponicus,265
Sneeuwgors,Plectrophenax nivalis,329
